ROUND,COURSE_FULL_NAME,HRS,PRICE,START_DATE,TIMES,PROG,TYPE,LEVEL,END_DATE,DAYS,COURSE_SHORT_NAME,COURSE_EMAIL_NAME,PROGRAMME_EMAIL,COURSE_BOOK,DEADLINE,LOCATION,ATTENDANCE_COURSE_NAME,CERTIFICATE_NAME,CERTIFICATE_LEVEL,LEVEL_SPEC,ONLINE_ONSITE,DISCOUNT-5pc,DISCOUNT-10pc,REGISTRATION_LINK,SCHEDULE_TYPE,SCHEDULE_NAME
6,B2 MORNING - FIFE - 17.08.2026 - R6,30 hours/6 weeks,525,8/17/2026,9:30-12:00,FIFE,MORNING,B2,9/24/2026,"M,Th",B2 MORNING,B2 MORNING - 30 hours/6 weeks,B2 FIFE,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),7/12/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B2_MORN_FIFE_6,B2 MORNING English Course - 30 hours/6 weeks,B2,B2,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,B2 MORNING,B2 MORNING (R6) starting 17.08.2026
6,A1 BEGINNER - DUBLIN - 17.08.2026 - R6,24 hours/6 weeks,445,8/17/2026,15:30-17:30,DUBLIN,BEGINNER,A1,9/23/2026,"M,W",A1 BEGINNER,A1 BEGINNER - 24 hours/6 weeks,A1 DUBLIN,English File Beginner 4th Edition (ISBN-13 978-0194031608),7/11/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A1_BEGI_DUBLI_6,A1 BEGINNER English Course - 24 hours/6 weeks,A1,A1,onsite,422.75,400.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A1 BEGINNER,A1 BEGINNER (R6) starting 17.08.2026
6,A2 ELEM MORNING - FIFE - 17.08.2026 - R6,30 hours/6 weeks,525,8/17/2026,9:30-12:00,FIFE,MORNING,A2 ELEM,9/23/2026,"M,W",A2 ELEM MORNING,A2 ELEM MORNING - 30 hours/6 weeks,A2 ELEM FIFE,English File Elementary Plus 4th Edition (ISBN-13 978-0194032414),7/11/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2 EL_MORN_FIFE_6,A2 ELEM MORNING English Course - 30 hours/6 weeks,A2 ELEM,A2 ELEM,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 ELEMENTARY,A2 ELEMENTARY (R6) starting 17.08.2026
6,B1 EVE ONLINE - FIFE - 17.08.2026 - R6,24 hours/6 weeks,385,8/17/2026,19:00-21:00,FIFE,EVE ONLINE,B1,9/23/2026,"M,W",B1 EVE ONLINE,B1 EVE ONLINE - 24 hours/6 weeks,B1 FIFE,English File Intermediate 4th Edition (ISBN-13978-0194035910),7/11/2026,ONLINE,B1_EVE _FIFE_6,B1 EVE ONLINE English Course - 18 hours/6 weeks,B1,B1,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,B1 EVE ONLINE - 17.08.2026 - R6
6,B2 EVE ONLINE - FIFE - 17.08.2026 - R6,24 hours/6 weeks,385,8/17/2026,19:00-21:00,FIFE,EVE ONLINE,B2,9/23/2026,"M,W",B2 EVE ONLINE,B2 EVE ONLINE - 24 hours/6 weeks,B2 FIFE,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),7/11/2026,ONLINE,B2_EVE _FIFE_6,B2 EVE ONLINE English Course - 24 hours/6 weeks,B2,B2,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,B2 EVE ONLINE - 17.08.2026 - R6
6,BUSINESS EVE ONLINE - FIFE - 17.08.2026 - R6,24 hours/6 weeks,385,8/17/2026,19:00-21:00,FIFE,EVE ONLINE,BUSINESS,9/23/2026,"M,W",BUSINESS EVE ONLINE,BUSINESS EVE ONLINE - 24 hours/6 weeks,BUSINESS FIFE,Business Result Pre-Intermediate 2nd Edition (ISBN-13 978-0194739542),7/11/2026,ONLINE,BUSIN_EVE _FIFE_6,BUSINESS EVE ONLINE English Course - 24 hours/6 weeks,BUSINESS,BUSINESS,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,BUSINESS EVE ONLINE - 17.08.2026 - R6
6,C1 MORNING - FIFE - 18.08.2026 - R6,30 hours/6 weeks,525,8/18/2026,9:30-12:00,FIFE,MORNING,C1,9/25/2026,"T,F",C1 MORNING,C1 MORNING - 30 hours/6 weeks,C1 FIFE,English File Advanced 4th Edition (ISBN-13 978-0194031691),7/12/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,C1_MORN_FIFE_6,C1 MORNING English Course - 30 hours/6 weeks,C1,C1,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,C1 MORNING,C1 MORNING (R6) starting 18.08.2026
6,A2 PRE-INT EVE ONLINE - FIFE - 18.08.2026 - R6,24 hours/6 weeks,385,8/18/2026,19:00-21:00,FIFE,EVE ONLINE,A2 PRE-INT,9/24/2026,"T,Th",A2 PRE-INT EVE ONLINE,A2 PRE-INT EVE ONLINE - 24 hours/6 weeks,A2 PRE-INT FIFE,English File Pre-Intermediate 4th Edition (ISBN-13 978-0194037419),7/11/2026,ONLINE,A2 PR_EVE _FIFE_6,A2 PRE-INT EVE ONLINE English Course - 24 hours/6 weeks,A2 PRE-INT,A2 PRE-INT,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,A2 PRE-INT EVE ONLINE - 18.08.2026 - R6
6,A2 PRE-INT MORNING - FIFE - 18.08.2026 - R6,30 hours/6 weeks,525,8/18/2026,9:30-12:00,FIFE,MORNING,A2 PRE-INT,9/24/2026,"T,Th",A2 PRE-INT MORNING,A2 PRE-INT MORNING - 30 hours/6 weeks,A2 PRE-INT FIFE,English File Pre-Intermediate 4th Edition (ISBN-13 978-0194037419),7/12/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2 PR_MORN_FIFE_6,A2 PRE-INT MORNING English Course - 30 hours/6 weeks,A2 PRE-INT,A2 PRE-INT,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 PRE-INTERMEDIARY,A2 PRE-INTERMEDIARY (R6) starting 18.08.2026
6,C1 EVE ONLINE - FIFE - 18.08.2026 - R6,24 hours/6 weeks,385,8/18/2026,19:00-21:00,FIFE,EVE ONLINE,C1,9/24/2026,"T,Th",C1 EVE ONLINE,C1 EVE ONLINE - 24 hours/6 weeks,C1 FIFE,English File Advanced 4th Edition (ISBN-13 978-0194031691),7/11/2026,ONLINE,C1_EVE _FIFE_6,C1 EVE ONLINE English Course - 24 hours/6 weeks,C1,C1,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,C1 EVE ONLINE - 18.08.2026 - R6
6,B1 MORNING - FIFE - 19.08.2026 - R6,30 hours/6 weeks,525,8/19/2026,9:30-12:00,FIFE,MORNING,B1,9/25/2026,"W,F",B1 MORNING,B1 MORNING - 30 hours/6 weeks,B1 FIFE,English File Intermediate 4th Edition (ISBN-13978-0194035910),7/12/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B1_MORN_FIFE_6,B1 MORNING English Course - 30 hours/6 weeks,B1,B1,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,B1 MORNING,B1 MORNING (R6) starting 19.08.2026
9,A2 INTENSIVE - AUCKLAND - 31.08.2026 - R9,40 hours/4 weeks,640,8/31/2026,12:30-15:00,AUCKLAND,INTENSIVE,A2,9/25/2026,"M,T,Th,F",A2 INTENSIVE,A2 INTENSIVE - 40 hours/4 weeks,A2 AUCKLAND,English File Pre-Intermediate 4th Edition (ISBN-13 978-0194037419),7/25/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2_INTE_AUCKL_9,A2 INTENSIVE English Course - 40 hours/4 weeks,A2,A2,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 INTENSIVE,A2 INTENSIVE (R9) starting 31.08.2026
